編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值
1,8473,山林水,上市/綠能環保,40.05,-2.55,5.65,14.19,-30.55,-2.57,26.74,1614,40.7
2,3551,世禾,上櫃/綠能環保類,174.5,-4.64,-7.46,9.07,-6.18,15.71,21.74,-45,193.0
3,6274,台燿,上櫃/電子零組件業,606.0,4.48,19.89,82.33,-22.43,27.28,53.78,-13203,563.0
4,6584,南俊國際,上櫃/電子零組件業,558.0,-1.76,52.24,119.38,-16.78,47.92,72.91,1487,579.0
5,4973,廣穎,上櫃/半導體業,64.1,-9.59,24.5,86.94,-18.14,42.53,34.96,7006,130.8
6,6197,佳必琪,上市/電子零組件業,169.5,-3.69,10.54,15.41,-30.24,20.32,22.26,6946,236.5
7,4971,IET-KY,上櫃/半導體業,526.0,9.81,37.07,153.92,-0.19,43.13,26.26,-1190,527.0
8,5439,高技,上櫃/電子零組件業,301.0,4.88,1.12,12.98,1.75,62.65,96.39,355,320.0
9,5386,青雲,上櫃/電腦及週邊設備業,289.0,-9.97,70.88,216.07,17.49,1025.37,409.46,-29,580.0
10,6446,藥華藥,上市/生技醫療業,643.0,0.47,3.01,24.68,1.25,56.65,57.08,-2999,673.0
11,4991,環宇-KY,上櫃/半導體業,442.0,1.14,61.22,160.61,-28.81,7.72,39.54,436,509.0
12,5284,jpp-KY,上市/其他,280.0,-2.61,2.99,18.16,13.47,50.24,50.6,286,309.5
13,6449,鈺邦,上市/電子零組件業,154.5,-2.52,-8.02,5.19,-28.73,15.64,29.7,-175,171.0
14,5340,建榮,上櫃/電子零組件業,105.0,0.0,11.94,78.42,-9.11,10.43,20.11,1791,140.2
15,5289,宜鼎,上櫃/電腦及週邊設備業,916.0,-9.75,17.54,115.91,25.43,403.21,293.47,-694,1631.0
16,4967,十銓,上市/電子工業,229.5,-9.82,10.83,92.97,-66.99,-22.19,92.94,-2097,318.5
17,6217,中探針,上櫃/電子零組件業,175.0,3.55,109.94,252.77,-29.02,42.94,37.69,-990,286.3
18,6223,旺矽,上櫃/半導體業,3655.0,-2.53,33.35,121.08,7.26,45.54,36.82,704,4775.0
19,8210,勤誠,上市/電腦及週邊設備業,903.0,-0.11,-3.17,37.34,-26.41,49.62,81.35,-3999,906.0
20,8121,越峰,上櫃/電子零組件業,25.1,0.6,-9.59,4.11,-29.36,-5.04,23.56,122,25.3
21,6016,康和證,上櫃/金融業,17.2,-1.15,8.3,35.31,2.42,-45934.54,254.86,-5499,18.1
22,6134,萬旭,上櫃/電子零組件業,29.0,-3.81,-4.36,20.05,-31.77,47.63,49.83,1389,31.5
23,6005,群益證,上市/金融保險,28.15,-0.18,1.22,16.2,-24.73,54.46,72.87,-43530,32.15
24,5607,遠雄港,上市/航運業,46.2,-1.18,-5.88,1.93,-15.22,26.38,32.44,-1706,57.75
25,8131,福懋科,上市/電子工業,64.7,2.86,-3.34,63.78,-14.54,23.83,33.95,222,62.2
26,8155,博智,上櫃/電子零組件業,265.0,-1.12,31.94,71.52,-6.72,28.38,40.83,2359,334.0
27,6139,亞翔,上市/其他電子業,589.0,-9.94,4.03,49.39,-17.06,81.4,113.33,6488,601.0
28,6209,今國光,上市/電子工業,51.8,-3.18,-14.56,24.86,-37.9,11.49,47.04,-4225,55.4
29,8021,尖點,上市/電子工業,256.5,3.64,17.61,131.75,-8.8,42.47,48.42,-1827,284.0
30,8996,高力,上市/電機機械,845.0,3.05,11.89,87.95,-23.21,205.73,227.94,-2555,943.0
31,6805,富世達,上市/電子工業,1905.0,0.0,20.78,70.77,-16.03,51.13,65.16,-174,2290.0
32,6727,亞泰金屬,上櫃/電子零組件業,280.5,0.72,38.93,98.3,-14.44,482.36,223.79,1132,377.0
33,8271,宇瞻,上市/電子工業,146.0,-8.75,14.44,77.29,-10.18,193.82,153.46,16927,254.5
34,6691,洋基工程,上市/電子工業,590.0,-4.07,-1.95,26.63,-23.85,37.09,62.67,-1695,680.0
35,6683,雍智科技,上櫃/半導體業,1260.0,6.78,80.8,182.93,1.83,46.93,30.11,-111,1655.0
36,8299,群聯,上櫃/半導體業,1650.0,-4.35,-8.16,73.96,16.71,169.43,147.68,-2592,1940.0
37,8112,至上,上市/電子通路業,79.5,-4.1,2.69,37.48,21.8,136.81,72.87,56556,103.5
38,6693,廣閎科,上櫃/半導體業,104.5,-0.95,18.46,53.07,-8.75,42.95,39.48,1603,119.7
39,6830,汎銓,上市/電子工業,474.0,9.98,86.76,176.18,-24.56,25.77,24.28,-2335,615.0
40,6861,睿生光電,上市/化學生技醫療,144.5,-3.67,52.29,124.24,1.32,44.0,30.67,264,266.6
41,1815,富喬,上櫃/電子零組件業,104.5,-3.24,6.46,59.86,10.27,60.76,26.71,-46836,124.4
42,6669,緯穎,上市/電腦及週邊設備業,3465.0,-7.85,-12.77,6.46,13.71,103.44,122.53,-3457,4785.0
43,2308,台達電,上市/電子零組件業,1515.0,-2.26,25.09,92.37,0.45,31.0,34.19,6968,1520.0
