編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),5日法人買賣超(張),轉折值
1,6187,萬潤,上櫃/半導體業,819.0,9.93,83.95,123.45,25.28,15.68,-14.3,17680,1174,977.0
2,6568,宏觀,上櫃/半導體業,217.0,5.85,46.11,79.86,-41.15,11.17,13.56,1147,624,230.0
3,6584,南俊國際,上櫃/電子零組件業,502.0,9.97,42.75,102.6,-16.78,47.92,72.91,759,1121,556.0
4,6265,方土昶,上櫃/電子通路業,47.55,3.03,25.33,163.34,-19.46,309.86,359.86,396,3091,42.5
5,4977,眾達-KY,上市/電子工業,200.5,4.43,39.83,78.42,168.97,-17.45,-31.96,7473,1732,248.5
6,4991,環宇-KY,上櫃/半導體業,427.0,9.91,65.23,159.24,-28.81,7.72,39.54,3028,239,457.0
7,5291,邑昇,上櫃/電子零組件業,62.3,2.3,54.49,116.31,-29.74,-0.21,13.98,1633,667,76.0
8,4960,誠美材,上市/電子工業,25.2,-2.7,63.54,79.24,-25.26,-21.4,-3.37,15742,5847,33.15
9,6442,光聖,上市/通信網路業,2045.0,5.96,28.33,125.0,-22.62,44.09,-0.36,550,194,2505.0
10,5351,鈺創,上櫃/半導體業,79.5,-5.69,38.43,108.91,13.81,310.99,254.04,19031,14271,71.9
11,4973,廣穎,上櫃/半導體業,88.4,-9.98,80.22,163.27,-18.14,42.53,34.96,6601,3084,88.55
12,8021,尖點,上市/電子工業,264.5,1.73,24.38,146.96,-8.8,42.47,48.42,8160,2617,307.0
13,8150,南茂,上市/電子工業,62.5,-1.42,8.69,70.72,-6.41,22.12,25.69,14081,822,82.8
14,6213,聯茂,上市/電子零組件業,143.5,-5.28,18.56,42.04,-17.51,9.01,26.78,33577,3929,176.5
15,8155,博智,上櫃/電子零組件業,275.0,2.04,41.4,80.41,-6.72,28.38,40.83,1525,3396,211.5
16,6127,九豪,上櫃/電子零組件業,47.6,7.21,29.06,86.44,-19.61,-18.61,-3.47,10314,7579,43.4
17,6830,汎銓,上市/電子工業,450.0,7.4,90.89,170.14,-24.56,25.77,24.28,1592,139,590.0
18,6727,亞泰金屬,上櫃/電子零組件業,293.0,-2.17,49.23,112.38,-14.44,482.36,223.79,1554,486,328.5
19,8271,宇瞻,上市/電子工業,188.0,-9.83,52.52,133.51,-10.18,193.82,153.46,13853,2723,229.0
20,6805,富世達,上市/電子工業,2000.0,1.27,28.96,82.66,-16.03,51.13,65.16,926,418,2145.0
21,6715,嘉基,上市/電子工業,341.5,-4.34,121.44,188.7,-33.73,17.74,15.06,2281,460,466.5
22,1717,長興,上市/化學生技醫療,66.7,6.38,17.99,72.39,-37.36,-19.29,-2.54,13007,9142,76.3
23,1809,中釉,上市/玻璃陶瓷,32.45,-0.15,41.05,72.86,-26.33,1.09,6.41,2014,1878,28.5
24,1711,永光,上市/化學工業,41.8,-3.35,72.4,116.9,-33.18,-25.0,-7.16,31250,16744,41.6
25,2308,台達電,上市/電子零組件業,1475.0,1.37,25.74,91.74,0.45,31.0,34.19,8811,7727,1640.0
26,2406,國碩,上市/電子工業,37.05,1.65,24.65,87.32,-11.79,159.77,179.04,17070,9970,38.8
27,2451,創見,上市/電子工業,302.0,-2.27,33.8,112.08,-33.11,246.28,308.36,4985,3459,253.0
28,2329,華泰,上市/電子工業,62.1,2.99,11.24,39.07,-15.55,12.21,24.26,4487,9667,57.7
29,2413,環科,上市/電子零組件業,56.9,-1.9,25.25,113.59,-31.38,-23.82,-2.3,2202,481,73.9
30,2426,鼎元,上市/電子工業,35.0,0.86,69.27,99.62,-17.27,-14.78,-6.23,12586,2852,49.05
31,2337,旺宏,上市/電子工業,160.0,1.91,102.13,321.05,0.43,59.98,52.19,3870,27322,127.2
32,2369,菱生,上市/電子工業,35.75,10.0,34.97,85.43,-16.0,26.07,40.97,16087,19900,30.45
33,3715,定穎投控,上市/電子零組件業,178.5,-6.3,27.48,96.5,-12.95,23.08,19.14,14223,1570,191.0
34,2368,金像電,上市/電子零組件業,988.0,-1.69,35.01,116.0,-1.23,53.91,56.19,6412,1825,1041.0
35,3653,健策,上市/電子零組件業,3850.0,-1.28,31.76,88.29,-32.28,-14.57,9.35,1665,1109,3860.0
36,3028,增你強,上市/電子工業,54.2,-4.07,20.4,52.24,-39.98,44.51,61.04,1208,215,67.05
37,3264,欣銓,上櫃/半導體業,152.0,-1.3,10.54,63.95,-3.02,22.47,22.68,3702,1281,155.5
38,3036,文曄,上市/電子通路業,254.0,1.6,48.81,84.85,-46.65,28.98,56.65,31611,6428,296.0
39,3189,景碩,上市/電子工業,380.0,-0.91,65.07,180.72,-19.1,10.0,28.99,541,3775,377.0
40,3135,凌航,上市/電子工業,157.0,9.79,47.67,187.11,-36.52,104.04,171.52,441,1340,133.0
41,3017,奇鋐,上市/電腦及週邊設備業,2050.0,1.74,31.55,90.82,-17.56,74.74,109.57,9600,3080,2125.0
42,3037,欣興,上市/電子零組件業,554.0,-4.65,61.0,198.76,-9.14,16.18,25.67,11015,12264,647.0
43,3081,聯亞,上櫃/通信網路業,1640.0,6.49,69.88,211.18,7.21,91.44,118.55,366,709,2000.0
44,3006,晶豪科,上市/電子工業,195.5,-9.91,33.92,132.93,-2.39,128.4,121.32,7856,10071,168.0
