編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,5日法人買賣超(張)
1,3026,禾伸堂,電子零組件業,988.0,9.9,98.27,393.83,-9.55,21.34,12.12,3945,1155.52,899.0,498.31,200.07,1446
2,6525,捷敏-KY,電子工業,183.0,9.91,60.8,117.96,1.65,18.95,13.6,-1051,171.0,166.5,113.8,83.96,-495
3,8261,富鼎,電子工業,320.0,-2.14,92.32,188.64,4.55,1.15,5.41,-383,317.0,327.0,166.39,110.86,-2075
4,6834,天二科技,電子工業,132.0,1.54,96.72,239.15,5.9,58.67,25.85,-2957,172.4,130.0,67.1,38.92,1042
5,6435,大中,半導體業,382.0,-2.68,51.59,154.69,2.44,22.2,12.47,-1470,391.5,392.5,252.0,149.98,-853
6,6488,環球晶,半導體業,1255.0,4.15,58.89,144.93,1.98,-3.3,-7.32,7315,1205.0,1205.0,789.86,512.38,-226
7,4542,科嶠,電子零組件業,482.5,2.55,78.84,265.19,12.37,57.55,25.84,682,544.0,470.5,269.79,132.12,-268
8,4707,磐亞,化學工業,33.8,9.39,85.6,180.9,55.42,-5.3,-18.88,344,35.1,30.9,18.21,12.03,1356
9,3624,光頡,電子零組件業,155.0,0.98,64.93,164.94,2.81,30.83,20.92,3773,211.0,153.5,93.98,58.5,2144
10,2061,風青,電器電纜,74.2,9.76,125.52,239.96,-1.99,15.73,6.06,194,85.4,67.6,32.9,21.83,554
11,8042,金山電,電子零組件業,210.5,1.94,71.71,223.29,-6.94,33.36,30.65,-6578,236.9,206.5,122.59,65.11,-1698
12,2243,宏旭-KY,汽車工業,65.9,5.1,109.02,283.04,-0.88,16.98,31.64,2722,77.95,62.7,31.53,17.2,21
13,2302,麗正,電子工業,52.0,-6.14,72.24,150.46,-12.25,22.31,17.04,-2319,59.96,55.4,30.19,20.76,-933
14,2059,川湖,電子零組件業,8000.0,1.52,51.28,110.36,46.05,172.05,71.22,283,8730.0,7880.0,5288.33,3802.95,-192
15,6259,百徽,電子零組件業,40.05,3.35,49.74,108.09,8.27,40.52,34.1,-451,56.6,38.75,26.75,19.25,-884
16,5328,華容,電子零組件業,82.4,0.61,113.17,237.11,-2.26,23.1,12.87,5459,99.7,81.9,38.65,24.44,-5506
17,6173,信昌電,電子零組件業,350.5,9.87,88.41,293.89,9.39,25.63,13.23,-2037,395.0,319.0,186.03,88.98,839
18,6182,合晶,半導體業,163.0,9.76,117.89,294.71,2.79,11.94,9.89,3032,153.5,148.5,74.81,41.3,16418
19,5464,霖宏,電子零組件業,102.5,-0.49,66.93,196.41,-17.8,45.64,25.66,616,132.4,103.0,61.4,34.58,-201
20,6174,安碁,電子零組件業,61.8,9.96,49.4,134.16,-7.07,24.83,20.58,1033,64.26,56.2,41.37,26.39,612
21,3532,台勝科,電子工業,440.0,8.11,62.78,199.56,4.21,24.43,12.34,211,461.0,407.0,270.3,146.88,136
22,1303,南亞,塑膠工業,197.0,0.0,85.3,190.46,4.15,31.35,9.77,127534,191.5,197.0,106.31,67.82,39364
23,1714,和桐,化學生技醫療,22.75,9.9,84.52,142.07,9.24,84.85,53.5,29340,31.2,20.7,12.33,9.4,4869
24,2375,凱美,電子零組件業,216.0,-0.46,60.15,130.95,-6.11,2.04,7.1,-6118,271.5,217.0,134.87,93.53,-1026
25,3090,日電貿,電子零組件業,318.5,2.41,69.4,189.11,-11.6,20.0,22.04,4383,429.38,311.0,188.01,110.17,734
26,3055,蔚華科,電子通路業,152.5,8.93,62.08,115.5,-82.04,-75.04,34.06,2962,92.5,140.0,94.09,70.77,4863
27,2483,百容,電子零組件業,67.1,9.82,119.1,202.17,9.2,34.28,15.04,2761,80.95,61.1,30.63,22.21,926
28,2484,希華,電子零組件業,96.4,9.92,84.71,215.91,-8.07,4.72,-2.44,4912,100.8,87.7,52.19,30.52,2464
29,2478,大毅,電子零組件業,238.0,4.39,84.36,219.85,0.35,16.47,9.89,6063,329.0,228.0,129.1,74.41,1590
30,2493,揚博,電子零組件業,314.0,-3.24,79.89,150.4,23.78,24.91,6.06,2794,387.0,324.5,174.55,125.4,-639
