編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
1,1303,南亞,塑膠工業,89.6,-2.18,9.31,71.15,46.4,18.05,1.92,174385,101.2,91.6,81.97,52.35
2,1326,台化,塑膠工業,52.3,-0.38,15.03,59.75,46.77,21.56,-2.35,164890,57.75,52.5,45.47,32.74
3,1560,中砂,電機機械,540.0,3.65,14.34,47.93,5.05,31.15,26.09,8570,627.0,521.0,472.28,365.04
4,2049,上銀,電機機械,312.5,1.3,25.34,41.96,25.91,17.39,8.82,17821,359.0,308.5,249.32,220.13
5,2395,研華,電腦及週邊設備業,359.5,-1.78,8.42,12.12,36.83,21.75,16.11,12375,399.5,366.0,331.59,320.65
6,2464,盟立,電子工業,113.5,-0.87,51.27,71.98,4.73,7.97,-0.72,22258,116.9,114.5,75.03,66.0
7,2637,慧洋-KY,航運業,71.7,0.14,1.25,11.81,35.64,34.91,21.86,10908,82.4,71.6,70.81,64.13
8,2855,統一證,金融保險,35.6,1.42,13.28,45.77,-93.74,-66.2,156.89,16406,38.55,35.1,31.43,24.42
9,2897,王道銀行,金融保險,10.1,-0.49,2.92,9.32,18.54,38.23,28.28,21241,10.44,10.15,9.81,9.24
10,2883,凱基金,金融保險,21.5,-0.92,7.44,27.36,-41.86,-49.83,-21.26,133459,22.2,21.7,20.01,16.88
11,3010,華立,電子通路業,132.5,-0.75,4.55,24.35,14.89,23.7,13.8,2688,152.5,133.5,126.73,106.55
12,3016,嘉晶,電子工業,89.7,9.93,45.65,84.53,13.55,20.34,18.23,14104,84.0,81.6,61.58,48.61
13,3023,信邦,電子零組件業,283.5,0.35,13.06,25.51,11.33,7.55,0.72,7259,319.0,282.5,250.74,225.87
14,3042,晶技,電子工業,153.0,-2.86,45.82,67.68,9.28,2.66,3.79,16445,211.9,157.5,104.93,91.25
15,3033,威健,電子通路業,35.75,-0.28,10.34,15.47,99.84,12.61,13.35,21273,37.35,35.85,32.4,30.96
16,3209,全科,電子通路業,52.2,2.15,27.61,49.07,61.62,11.85,24.41,8977,68.65,51.1,40.91,35.02
17,3533,嘉澤,電子零組件業,2615.0,-1.32,33.45,72.46,52.76,23.4,23.07,2296,2995.0,2650.0,1959.5,1516.26
18,3707,漢磊,半導體業,66.2,9.97,16.79,34.23,11.2,22.32,18.8,17921,63.1,60.2,56.68,49.32
19,4540,全球傳動,電機機械,68.5,7.87,39.69,63.4,101.37,75.05,39.38,10188,72.25,63.5,49.04,41.92
20,6016,康和證,金融業,19.45,0.52,13.71,45.39,-111.19,-56.69,444.66,23774,21.35,19.35,17.1,13.38
21,5536,聖暉*,其他電子類,825.0,-4.18,13.83,25.3,89.17,60.12,27.96,8583,1245.0,861.0,724.78,658.41
22,5871,中租-KY,其他,115.5,-2.53,6.66,4.49,12.15,-2.86,-2.86,26200,135.5,118.5,108.29,110.53
23,6488,環球晶,半導體業,580.0,8.21,20.54,42.69,23.78,0.09,-7.56,24275,754.5,536.0,481.18,406.47
24,6706,惠特,電子工業,151.5,3.06,20.88,66.49,2.6,-59.57,-63.45,10139,176.5,147.0,125.33,91.0
25,8046,南電,電子工業,1005.0,9.72,78.24,244.51,35.52,39.03,35.62,16512,1180.0,916.0,563.86,291.72
26,8150,南茂,電子工業,69.8,4.18,12.37,70.46,16.7,23.13,24.98,42715,82.9,67.0,62.12,40.95
27,9933,中鼎,其他,36.75,-0.68,8.28,21.7,33.95,-24.62,-19.49,8375,40.85,37.0,33.94,30.2
