編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
1,3042,晶技,電子零組件業,229.0,-4.06,48.99,124.13,16.28,1.42,3.24,-4233,274.48,238.7,153.7,102.17
2,3011,今皓,電子零組件業,14.55,-1.69,8.36,5.05,-29.56,-42.72,-37.74,4352,17.25,14.8,13.43,13.85
3,6603,富強鑫,電機機械,22.3,0.0,-4.19,4.4,-0.78,12.32,9.49,-2963,26.9,22.3,23.28,21.36
4,6695,芯鼎,半導體業,52.6,-4.88,10.81,12.44,-12.56,-24.96,-8.87,216,63.5,55.3,47.47,46.78
5,6716,應廣,半導體業,99.6,4.51,16.42,63.86,29.21,41.03,40.71,2,117.47,95.3,85.55,60.78
6,6605,帝寶,汽車工業,141.5,-1.39,5.63,-2.22,8.54,-1.48,-3.44,-857,162.0,143.5,133.96,144.72
7,6683,雍智科技,半導體業,1725.0,8.83,-0.81,119.31,-1.23,20.97,30.92,-908,1485.0,1585.0,1739.0,786.54
8,6672,騰輝電子-KY,電子零組件業,222.0,-5.73,19.7,95.77,6.1,36.93,23.02,-3903,256.5,235.5,185.46,113.4
9,7712,博盛半導體,半導體業,153.0,0.0,13.83,31.99,0.0,0.0,0.0,-208,199.5,153.0,134.42,115.92
10,4741,泓瀚,化學工業,72.5,-2.68,30.68,136.03,8.34,20.25,8.79,2512,93.2,74.5,55.48,30.72
11,4542,科嶠,電子零組件業,354.0,-1.67,60.93,210.03,-15.18,7.38,18.72,324,393.5,360.0,219.97,114.18
12,6173,信昌電,電子零組件業,287.0,-5.59,110.29,280.84,13.04,20.36,10.37,-3138,360.5,304.0,136.47,75.36
13,4977,眾達-KY,電子工業,180.5,0.28,-13.54,27.04,-33.5,-43.18,-31.51,-1881,193.0,180.0,208.77,142.09
14,6890,來億-KY,運動休閒,227.5,-1.3,27.77,0.82,51.51,-9.23,-18.2,10175,343.0,230.5,178.05,225.65
15,4953,緯軟,資訊服務業,135.0,-0.74,10.48,15.25,-8.19,20.22,27.73,2682,169.0,136.0,122.19,117.14
16,4541,晟田,其他,48.0,-2.04,5.48,5.55,-9.88,44.69,35.65,1020,50.8,49.0,45.5,45.48
17,5210,寶碩,資訊服務業,29.65,-4.35,16.35,19.87,-9.93,11.43,4.77,685,33.9,31.0,25.48,24.74
18,8182,加高,電子零組件業,51.4,-9.82,34.48,75.78,3.89,14.12,-0.04,-108,65.85,57.0,38.22,29.24
19,8163,達方,電腦及週邊設備業,43.6,-3.11,35.7,31.64,8.87,9.52,8.15,10291,50.05,45.0,32.13,33.12
20,6761,穩得,電子零組件業,192.0,-3.03,-1.53,33.24,6.37,-0.37,-10.99,757,257.0,198.0,194.99,144.1
21,5498,凱崴,電子零組件業,66.2,-2.36,0.11,62.2,5.96,54.64,49.9,143,72.0,67.8,66.13,40.81
22,8289,泰藝,電子零組件業,65.2,-5.85,24.08,117.86,3.56,-5.73,0.5,-616,99.38,69.25,52.55,29.93
23,5534,長虹,建材營造,82.3,-0.12,5.53,5.05,-35.55,13.56,-22.26,814,91.3,82.4,77.98,78.35
24,1319,東陽,汽車工業,100.0,-4.76,19.58,5.77,-1.78,-14.11,-18.06,15771,117.4,105.0,83.63,94.55
