編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,MA負乖離(%),回檔深度(%)
1,3081,聯亞,通信網路業,1485.0,-3.57,-28.66,28.88,3.75,128.14,114.85,-3730,1614.18,1540.0,2081.46,1152.26,-13.01,-50.49
2,3088,艾訊,電腦及週邊設備業,120.5,-9.74,-11.25,27.26,-6.38,48.37,37.85,1835,157.41,133.5,135.78,94.69,-12.34,-24.21
3,4541,晟田,其他,56.6,-7.52,7.29,21.46,8.83,58.68,34.12,1664,99.07,61.2,52.75,46.6,-14.78,-30.64
4,4979,華星光,通信網路業,346.5,-9.88,-32.33,-1.12,8.03,27.68,15.86,220,386.91,384.5,512.08,350.44,-14.8,-54.29
5,3577,泓格,電腦及週邊設備業,112.0,-7.05,-12.23,34.01,24.88,85.37,37.46,-250,157.08,120.5,127.6,83.57,-15.73,-36.36
6,3413,京鼎,電子工業,282.5,-2.25,-12.01,-5.81,24.22,39.75,15.77,1495,443.0,289.0,321.07,299.92,-15.8,-26.34
7,8033,雷虎,其他,150.0,-4.46,-8.37,1.63,92.87,19.63,7.39,4075,324.5,157.0,163.71,147.59,-28.9,-44.85
8,6753,龍德造船,航運業,123.0,-5.02,-7.45,-8.93,-1.51,33.41,12.17,-955,174.5,129.5,132.9,135.06,-15.2,-27.22
9,4991,環宇-KY,半導體業,321.0,-9.96,-43.85,-4.83,62.88,55.06,47.63,-1931,357.0,356.5,571.7,337.28,-24.8,-64.13
10,5434,崇越,電子工業,475.5,-3.26,-0.22,33.98,14.75,32.86,20.02,2125,645.83,491.5,476.55,354.91,-10.27,-21.01
11,8932,智通*,數位雲端類,86.6,-3.24,-17.59,-9.58,27.74,-3.5,12.04,-8027,137.0,89.5,105.09,95.77,-23.32,-33.38
12,6947,台鎔科技,綠能環保,68.6,-1.01,-18.0,-13.73,2.27,75.49,82.08,539,76.0,69.3,83.66,79.52,-13.78,-29.86
13,3167,大量,電機機械,442.0,-8.39,-43.42,9.19,8.94,139.66,117.93,228,770.7,482.5,781.18,404.8,-39.82,-56.24
14,3594,磐儀,電腦及週邊設備業,47.0,-7.3,-7.49,7.89,1.32,43.85,30.91,123,55.05,50.7,50.81,43.56,-10.24,-21.4
15,2645,長榮航太,航運業,176.0,-3.3,-2.36,8.8,8.08,13.01,9.69,4100,303.54,182.0,180.25,161.77,-17.91,-31.78
