編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
1,3006,晶豪科,電子工業,237.0,9.98,11.5,81.73,8.48,328.35,223.17,5785,230.41,215.5,212.56,130.42
2,3034,聯詠,電子工業,519.0,-0.37,12.51,27.39,6.48,18.96,-4.33,5162,562.57,520.92,461.29,407.4
3,3028,增你強,電子工業,75.2,1.48,2.04,61.39,-8.34,65.62,84.46,2642,92.01,74.1,73.69,46.59
4,3037,欣興,電子工業,875.0,1.39,-2.49,112.36,5.95,36.31,28.22,-27752,1033.88,863.0,897.3,412.03
5,3004,豐達科,鋼鐵工業,153.5,5.5,20.81,31.33,6.05,46.56,32.42,2443,166.5,145.5,127.06,116.88
6,6770,力積電,半導體業,71.1,-0.14,5.62,56.96,12.19,68.75,35.67,-242302,82.0,71.2,67.31,45.3
7,3016,嘉晶,電子工業,121.5,1.25,9.89,83.79,1.67,37.28,24.1,-1067,157.45,120.0,110.56,66.11
8,3033,威健,電子通路業,49.6,0.0,8.21,44.32,24.22,54.45,21.73,9672,51.2,49.6,45.84,34.37
9,6789,采鈺,半導體業,515.0,0.39,-2.1,52.58,5.23,16.14,2.62,1603,577.19,513.0,526.04,337.53
10,3017,奇鋐,電子工業,2350.0,1.08,-7.9,41.59,11.01,66.11,88.22,1995,3115.0,2325.0,2551.5,1659.74
11,8105,凌巨,電子工業,20.25,-0.49,12.75,44.61,-6.94,-8.9,-2.67,7029,26.25,20.35,17.96,14.0
12,6177,達麗,建材營造,45.3,0.22,-0.3,-3.02,478.4,1322.16,869.74,-1402,58.4,45.2,45.44,46.71
13,8131,福懋科,電子工業,76.0,1.33,10.8,46.26,5.1,60.87,40.64,4902,78.3,75.0,68.6,51.96
14,6491,晶碩,生技醫療業,375.0,0.0,19.91,23.04,1.09,33.94,20.43,5123,427.5,375.0,312.74,304.79
15,8358,金居,電子零組件業,533.0,1.91,4.07,79.82,2.16,43.37,39.88,-7318,792.0,523.0,512.16,296.42
16,6239,力成,半導體業,320.0,0.63,11.61,58.23,-3.72,21.71,32.14,-28106,348.0,318.0,286.72,202.24
17,8299,群聯,半導體業,2220.0,3.74,-2.45,53.58,8.87,301.0,224.32,-3392,2466.98,2140.0,2275.74,1445.46
18,8086,宏捷科,半導體業,136.0,-2.16,-10.37,11.18,-7.9,16.05,47.03,-4041,163.0,139.0,151.73,122.33
19,6829,千附精密,半導體業,222.0,2.78,3.49,59.03,20.5,69.4,35.02,-113,263.5,216.0,214.52,139.59
20,1785,光洋科,其他電子類,143.0,-0.35,-4.11,67.51,-23.32,70.84,69.03,3135,170.5,143.5,149.12,85.37
21,8473,山林水,綠能環保,45.6,0.44,4.36,18.01,21.15,18.1,17.45,-465,49.6,45.4,43.69,38.64
22,8076,伍豐,電腦及週邊設備業,26.55,3.11,7.77,9.08,7.44,40.4,34.48,2279,27.4,25.75,24.64,24.34
23,1586,和勤,電機機械,19.1,-0.26,-10.77,-23.25,9.37,25.16,3.35,18,20.85,19.15,21.4,24.89
24,2061,風青,電器電纜,74.7,-10.0,101.36,226.87,4.9,31.46,9.3,-1538,112.25,83.0,37.1,22.85
25,8096,擎亞,電子通路業,166.5,-1.77,37.05,133.62,125.51,433.49,26.37,-3083,188.5,169.5,121.49,71.27
