編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,dif值,ADX300值,威廉50值
1,3057,喬鼎,電腦及週邊設備業,22.4,9.54,23.6,35.55,-26.63,33.62,3.75,542,19.35,20.45,18.12,16.53,0.0029,6.28,2.01
2,7610,聯友金屬-創,綠能環保,1615.0,9.49,146.49,537.35,0.0,0.0,0.0,-652,2158.0,1475.0,655.19,253.39,1.2192,63.47,0.38
3,6669,緯穎,電腦及週邊設備業,5515.0,1.29,26.04,48.35,-16.14,29.67,67.2,950,6375.0,5445.0,4375.5,3717.44,3.6581,8.07,14.09
4,6698,旭暉應材,電子工業,39.5,4.91,24.84,21.3,-10.36,-44.63,-10.52,-663,42.4,37.65,31.64,32.56,-0.0045,5.66,12.55
5,6742,澤米,電子工業,60.3,4.15,36.67,23.39,6.7,-49.51,-41.88,124,83.9,57.9,44.12,48.87,-0.0239,8.5,13.1
6,5321,美而快,數位雲端類,57.4,9.96,111.06,64.14,4.11,-22.08,-22.3,242,81.9,52.2,27.2,34.97,-0.0375,5.82,0.0
7,6206,飛捷,電腦及週邊設備業,141.5,2.91,25.81,33.05,18.17,44.47,11.85,8255,172.0,137.5,112.47,106.35,0.0215,8.96,9.05
8,6197,佳必琪,電子零組件業,309.0,4.04,53.63,89.87,12.35,5.26,15.73,-1292,375.5,297.0,201.13,162.74,0.1119,6.15,5.57
9,2070,精湛,電機機械,75.5,-2.71,46.25,74.51,-7.84,55.42,32.47,-826,83.0,77.6,51.63,43.26,0.0088,9.41,16.04
10,3528,安馳,電子通路業,129.0,9.79,69.48,74.99,-18.67,83.24,102.97,731,144.0,117.5,76.12,73.72,0.0285,17.04,0.0
11,4722,國精化,化學生技醫療,286.0,0.35,40.75,84.7,21.19,3.25,-6.55,2354,388.0,285.0,203.19,154.85,0.2475,18.16,6.52
12,6509,聚和,化學工業,51.5,3.21,15.33,42.79,9.27,9.76,6.04,14054,60.3,49.9,44.65,36.07,0.018,6.57,9.92
13,6412,群電,電子工業,106.0,3.92,25.55,10.71,-8.54,-11.89,-10.21,1345,120.0,102.0,84.43,95.74,-0.0499,5.29,15.08
