編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,月線+DI(1),月線RSI(4),日線威廉(50),日線RSI(60),週線VR(2),月線VR(2)
1,3023,信邦,電子零組件業,329.0,1.86,6.23,29.57,3.58,32.47,12.26,2416,368.0,323.0,309.69,253.92,51.39,75.61,21.72,54.86,231.63,9999.0
2,3045,台灣大,電子工業,119.5,1.27,5.89,11.95,-6.65,7.14,4.33,82798,128.0,118.0,112.85,106.75,58.33,95.28,0.0,59.96,9999.0,9999.0
3,3055,蔚華科,電子工業,149.5,2.4,17.34,75.34,202.59,173.49,8.7,-5241,151.5,146.0,127.4,85.26,68.75,79.88,45.49,56.12,9999.0,9999.0
4,3008,大立光,電子工業,6870.0,5.69,39.2,122.49,2.76,-16.02,3.12,184,10190.0,6500.0,4935.33,3087.74,15.81,77.83,25.81,61.95,226.5,396.13
5,8039,台虹,電子零組件業,289.5,-1.7,32.46,126.07,-4.78,-13.83,1.03,-11806,449.5,294.5,218.55,128.06,0.0,77.96,32.89,57.98,0.0,321.41
6,3017,奇鋐,電腦及週邊設備業,3380.0,2.89,25.69,70.56,4.79,54.34,78.79,7161,3951.42,3285.0,2689.08,1981.65,41.43,80.43,13.51,57.99,213.87,405.64
7,3105,穩懋,半導體業,464.0,5.1,16.01,51.01,2.4,30.55,32.82,10375,521.0,441.5,399.97,307.26,39.25,62.96,12.17,53.52,9999.0,9999.0
8,8064,東捷,光電業,134.0,-0.37,14.21,69.55,1.41,-43.5,18.02,-2309,121.5,134.5,117.33,79.03,74.7,68.29,26.24,55.57,9999.0,9999.0
9,7610,聯友金屬-創,綠能環保,2030.0,-1.69,11.16,184.5,0.0,0.0,0.0,651,2170.0,2065.0,1826.25,713.54,19.71,78.09,39.48,57.42,9999.0,9999.0
10,7792,安葆,其他電子類,322.5,1.9,28.14,24.63,0.0,0.0,0.0,-363,399.0,316.5,251.68,258.78,48.44,62.85,4.03,56.62,9999.0,9999.0
11,6669,緯穎,電腦及週邊設備業,2325.0,-0.64,20.24,54.19,22.62,50.36,49.83,-11752,2972.63,2340.0,1933.61,1507.89,72.77,78.5,41.47,57.78,241.41,261.08
12,7788,松川精密,電子零組件業,320.5,9.95,25.48,79.86,0.0,0.0,0.0,939,420.0,291.5,255.42,178.2,0.0,75.14,15.1,58.34,178.0,9999.0
13,8040,九暘,半導體業,79.2,0.25,-3.65,21.38,8.8,42.53,26.61,-1806,77.0,79.0,82.2,65.25,52.6,53.96,57.98,50.76,9999.0,9999.0
14,3605,宏致,電子零組件業,129.5,4.44,31.18,73.16,-4.94,17.24,15.24,-8130,156.02,124.0,98.72,74.79,0.0,78.56,16.54,59.3,58.28,266.57
15,6672,騰輝電子-KY,電子零組件業,299.5,1.87,14.19,89.77,21.13,133.24,48.86,1938,350.0,294.0,262.28,157.82,40.18,71.38,17.06,57.86,204.23,9999.0
16,6617,共信-KY,生技醫療業,131.0,-2.6,34.22,55.81,1.33,7.84,31.93,-50,148.7,134.5,97.6,84.08,50.0,87.62,20.66,60.1,9999.0,9999.0
17,1409,新纖,紡織纖維,26.85,9.82,10.25,51.15,30.59,56.23,7.05,-4929,27.23,24.45,24.35,17.76,60.66,75.5,43.8,57.1,9999.0,9999.0
18,6706,惠特,電子工業,124.0,0.81,-1.74,2.08,4.45,89.25,-46.85,-1019,139.0,123.0,126.19,121.47,51.43,47.53,49.16,48.87,405.37,9999.0
19,6640,均華,半導體業,1200.0,-1.23,17.92,28.0,-32.1,18.69,57.6,-120,1415.0,1215.0,1017.65,937.5,75.61,60.81,20.58,52.81,247.39,9999.0
20,3653,健策,電子零組件業,5760.0,3.78,36.69,70.09,0.4,90.9,39.66,2504,7345.0,5550.0,4213.89,3386.42,8.13,74.25,10.73,58.65,197.99,517.8
21,1301,台塑,塑膠工業,66.7,2.46,13.23,40.62,-8.51,6.79,-2.86,99859,72.0,65.1,58.9,47.43,70.42,85.2,24.46,56.95,9999.0,9999.0
22,6840,東研信超,其他電子類,95.6,2.58,33.72,47.1,-7.52,17.12,15.86,473,130.2,93.2,71.49,64.99,8.33,85.55,12.05,63.23,62.45,9999.0
23,1308,亞聚,塑膠工業,14.8,4.59,6.54,8.13,3.4,12.8,0.27,4874,15.75,14.15,13.89,13.69,57.69,58.61,43.55,52.58,9999.0,9999.0
24,6830,汎銓,電子工業,576.0,0.0,27.31,50.92,5.52,31.95,22.61,-974,787.0,576.0,452.44,381.65,74.05,60.14,19.46,53.94,342.46,9999.0
25,1303,南亞,塑膠工業,236.5,0.64,25.55,138.36,0.09,46.75,19.73,17913,253.0,235.0,188.38,99.22,23.44,88.84,11.79,60.29,9999.0,345.42
26,1304,台聚,塑膠工業,12.8,3.64,1.35,4.92,9.89,8.72,-7.46,9233,13.15,12.35,12.63,12.2,52.63,51.47,59.77,50.57,9999.0,9999.0
27,1326,台化,塑膠工業,71.8,1.7,15.6,61.36,-2.27,31.7,11.68,90712,79.1,70.6,62.11,44.5,90.83,90.61,27.71,57.47,9999.0,9999.0
28,3680,家登,半導體業,566.0,8.64,16.51,33.52,15.81,71.69,31.33,5078,572.5,521.0,485.8,423.91,71.25,69.24,3.37,55.19,9999.0,9999.0
29,6442,光聖,電子工業,1700.0,0.29,11.26,12.54,14.96,49.25,22.28,218,1950.0,1695.0,1527.98,1510.64,69.35,55.84,23.91,51.17,297.15,9999.0
