編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,發行張數(萬),5日法人買賣超(張),5日吃貨比例(%),10日法人買賣超(張),10日吃貨比例(%),20日吃貨比例(%)
1,5269,祥碩,半導體業,1480.0,-2.95,4.51,4.44,-3.29,-22.41,12.63,2444,1685.0,1525.0,1416.17,1417.15,7415.67,407,0.55,1733,2.34,3.3
2,8046,南電,電子零組件業,1215.0,9.95,33.18,166.52,5.5,50.03,38.41,30315,1552.72,1105.0,912.32,455.88,64616.55,1277,0.2,12317,1.91,4.69
3,6226,光鼎,光電業,26.6,5.35,80.48,173.88,-13.55,-2.13,-6.84,7231,35.9,25.25,14.74,9.71,11553.48,2933,2.54,4935,4.27,6.26
4,8033,雷虎,其他,227.0,-0.22,52.48,62.91,92.87,19.63,7.39,23778,279.5,227.5,148.87,139.34,16462.98,5146,3.13,22524,13.68,14.44
5,5471,松翰,電子工業,67.6,7.47,29.31,68.42,4.88,47.67,23.06,4352,70.8,62.9,52.28,40.14,16787.7,1994,1.19,3782,2.25,2.59
6,6409,旭隼,電子工業,1105.0,-3.07,29.42,14.48,4.85,5.72,-7.67,2800,1580.0,1140.0,853.78,965.2,8770.3,346,0.39,1629,1.86,3.19
7,8039,台虹,電子零組件業,154.0,10.0,8.95,66.8,-8.66,-6.57,4.58,9663,154.67,140.0,141.34,92.32,26366.93,2875,1.09,3739,1.42,3.66
8,6191,精成科,電子零組件業,101.0,-1.85,3.22,-5.04,4.5,10.28,36.42,23390,119.19,102.9,97.85,106.36,49930.3,408,0.08,17896,3.58,4.68
9,6414,樺漢,電子工業,394.0,-2.48,13.71,32.26,13.36,56.97,19.32,4727,418.53,404.0,346.5,297.9,14504.64,2111,1.46,3197,2.2,3.26
10,8016,矽創,電子工業,363.0,3.12,31.79,72.49,-6.98,26.61,27.67,7769,390.0,352.0,275.43,210.45,11766.5,4117,3.5,4779,4.06,6.6
11,6202,盛群,半導體業,73.3,7.79,23.01,56.0,12.62,30.93,9.32,17799,75.3,68.0,59.59,46.99,23002.1,7775,3.38,11723,5.1,7.74
12,2103,台橡,橡膠工業,23.05,-3.15,12.56,31.57,-3.63,40.24,10.31,17059,25.18,23.8,20.48,17.52,82571.0,8437,1.02,9358,1.13,2.07
13,6104,創惟,半導體業,102.0,-0.49,1.94,0.05,-1.43,5.66,1.8,2062,111.0,102.5,100.06,101.95,9112.71,695,0.76,1053,1.16,2.26
14,5483,中美晶,半導體業,210.5,1.2,33.21,71.68,14.8,7.61,2.98,35061,262.0,208.0,158.02,122.61,61417.17,8606,1.4,23538,3.83,5.71
15,5488,松普,電子零組件業,16.2,9.83,37.04,56.03,38.09,79.28,31.19,2132,18.75,14.75,11.82,10.38,9158.61,921,1.01,1711,1.87,2.33
16,5410,國眾,資訊服務業,44.5,0.91,13.54,33.44,-56.72,11.87,49.27,2525,49.55,44.1,39.19,33.35,9205.61,513,0.56,959,1.04,2.74
17,5425,台半,半導體業,130.5,-4.04,39.47,100.81,-5.49,9.46,2.97,8170,161.0,136.0,93.57,64.99,24452.54,2501,1.02,7894,3.23,3.34
18,2377,微星,電子工業,145.0,2.11,19.41,28.66,12.39,-9.23,-3.46,46600,149.5,142.0,121.43,112.7,84485.62,19244,2.28,41560,4.92,5.52
19,2618,長榮航,航運業,39.6,-0.63,10.45,12.01,5.12,26.58,14.0,319163,47.55,39.85,35.85,35.36,540044.43,99835,1.85,109616,2.03,5.91
20,1710,東聯,化學生技醫療,16.4,-5.2,17.26,26.16,-46.65,-28.9,-12.54,20431,24.15,17.3,13.99,13.0,87702.7,8308,0.95,16235,1.85,2.33
21,4746,台耀,生技醫療業,54.8,-1.97,3.33,-7.57,17.62,0.29,-7.67,2505,57.3,55.9,53.03,59.29,12025.6,1265,1.05,2016,1.68,2.08
22,2634,漢翔,航運業,58.0,-2.68,19.69,13.94,-17.63,7.23,7.49,25774,71.88,59.6,48.46,50.91,94186.7,4556,0.48,18190,1.93,2.74
23,2645,長榮航太,航運業,240.0,1.91,41.04,51.34,-1.21,10.64,9.09,8748,266.5,235.5,170.17,158.59,37457.1,1570,0.42,6889,1.84,2.34
24,4541,晟田,其他,61.0,0.99,28.6,35.82,8.83,58.68,34.12,5924,75.22,60.4,47.43,44.91,6764.7,1841,2.72,3176,4.69,8.76
25,3402,漢科,其他電子類,143.0,-0.35,1.82,11.78,7.65,29.9,14.57,3486,165.0,143.5,140.45,127.92,7304.8,145,0.2,1277,1.75,4.77
26,3413,京鼎,電子工業,334.5,-1.33,6.5,12.49,24.22,39.75,15.77,10955,345.5,339.0,314.1,297.37,11057.1,1531,1.38,7982,7.22,9.91
27,2466,冠西電,電子工業,98.5,1.65,74.6,62.07,159.26,53.03,-15.7,4626,125.45,96.9,56.42,60.78,17345.87,2013,1.16,4386,2.53,2.67
28,2458,義隆,半導體業,183.5,-1.34,17.2,40.8,5.48,7.13,3.15,9540,221.5,186.0,156.57,130.33,28632.3,4880,1.7,5894,2.06,3.33
29,2483,百容,電子零組件業,68.0,6.58,102.08,195.16,9.2,34.28,15.04,4911,96.1,63.8,33.65,23.04,10741.7,484,0.45,3393,3.16,4.57
