編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,近一年創高次數
1,1522,堤維西,汽車工業,32.05,-0.47,-24.47,-26.63,-17.63,24.35,44.44,-3433,26.6,32.2,42.44,43.69,5
2,1560,中砂,電機機械,505.0,0.8,13.31,46.18,-0.23,24.35,24.4,-2449,432.5,501.0,445.69,345.46,6
3,1815,富喬,電子零組件業,118.0,5.36,18.13,73.64,10.27,60.76,26.71,-19778,107.0,112.0,99.89,67.96,5
4,2059,川湖,電子零組件業,3350.0,1.06,1.38,12.61,-1.02,31.15,42.19,379,3995.0,3315.0,3304.42,2974.93,8
5,2308,台達電,電子零組件業,1685.0,1.2,30.94,103.66,0.45,31.0,34.19,16750,1700.0,1665.0,1286.83,827.37,5
6,2345,智邦,電子工業,1740.0,1.75,27.31,72.41,9.55,82.7,73.68,-1145,1845.0,1710.0,1366.75,1009.19,6
7,2327,國巨*,電子零組件業,276.5,1.84,3.49,47.96,-11.7,17.97,24.95,-4362,255.0,271.5,267.17,186.87,6
8,2368,金像電,電子零組件業,1025.0,2.71,29.86,107.11,-1.23,53.91,56.19,4091,1150.0,998.0,789.33,494.9,7
9,2383,台光電,電子零組件業,3330.0,5.05,50.91,142.94,-6.16,45.01,45.7,-134,3460.0,3170.0,2206.58,1370.72,5
10,2408,南亞科,電子工業,218.5,-2.02,-13.04,77.42,16.42,560.04,550.5,-137196,206.0,223.0,251.28,123.15,5
11,2887,台新新光金,金融保險,24.7,0.0,5.56,32.03,-13.26,90.95,139.75,33099,23.95,24.7,23.4,18.71,5
12,3017,奇鋐,電腦及週邊設備業,2245.0,0.67,32.9,93.87,-17.56,74.74,109.57,5958,2545.0,2230.0,1689.25,1157.97,9
13,3135,凌航,電子工業,115.0,0.88,-0.27,94.75,-36.52,104.04,171.52,-223,189.0,114.0,115.31,59.05,5
14,3162,精確,電機機械,67.1,0.45,14.33,25.88,-40.76,-29.37,2.57,5225,64.0,66.8,58.69,53.3,5
15,3231,緯創,電腦及週邊設備業,130.5,-0.38,-2.72,2.77,24.75,177.37,156.9,32369,124.0,131.0,134.15,126.98,5
16,3305,昇貿,電子工業,110.0,0.0,-0.53,19.52,-2.2,62.39,51.67,2346,107.5,110.0,110.58,92.04,5
17,3167,大量,電機機械,558.0,3.53,91.16,188.8,-5.05,123.02,97.39,1552,500.5,539.0,291.91,193.21,5
18,3324,雙鴻,其他電子類,1010.0,0.5,1.7,24.4,-28.39,66.95,99.18,-3798,997.0,1005.0,993.12,811.88,6
19,3293,鈊象,文化創意業,772.0,0.0,6.39,0.33,4.82,19.25,15.66,8302,876.0,772.0,725.62,769.47,5
20,3551,世禾,綠能環保類,176.0,0.0,-4.95,8.24,-6.18,15.71,21.74,-631,171.0,176.0,185.16,162.59,6
21,3706,神達,電腦及週邊設備業,79.3,0.0,-2.67,4.16,-8.05,25.33,28.31,15920,82.0,79.3,81.47,76.14,5
22,4760,勤凱,其他電子類,237.5,4.4,29.81,60.31,-18.59,19.49,49.42,2806,227.66,227.5,182.96,148.15,5
23,5284,jpp-KY,其他,288.5,-1.2,6.42,19.13,13.47,50.24,50.6,675,309.5,292.0,271.11,242.18,9
24,5269,祥碩,電子工業,1100.0,-0.9,-11.46,-27.82,-33.7,17.65,50.63,-1707,1085.0,1110.0,1242.33,1523.9,5
25,5289,宜鼎,電腦及週邊設備業,1180.0,9.77,40.21,162.36,25.43,403.21,293.47,-1805,1631.0,1075.0,841.6,449.77,8
26,5439,高技,電子零組件業,299.0,-1.97,1.91,10.44,1.75,62.65,96.39,4005,337.5,305.0,293.38,270.74,6
27,6274,台燿,電子零組件業,771.0,6.34,45.81,120.44,-22.43,27.28,53.78,2255,748.0,725.0,528.77,349.76,7
28,6446,藥華藥,生技醫療業,646.0,-0.31,0.38,23.78,1.25,56.65,57.08,-1469,607.0,648.0,643.52,521.9,7
29,6805,富世達,電子工業,1905.0,0.79,18.04,64.03,-16.03,51.13,65.16,-1839,2290.0,1890.0,1613.83,1161.39,5
30,6781,AES-KY,電子工業,1000.0,-1.48,-11.05,-12.04,1.44,25.64,31.19,351,1105.0,1015.0,1124.25,1136.83,6
31,8021,尖點,電子工業,288.5,-1.54,25.37,143.12,-8.8,42.47,48.42,4733,301.5,293.0,230.12,118.66,7
32,8028,昇陽半導體,電子工業,187.5,0.27,3.69,18.3,-2.83,18.65,16.21,6792,206.0,187.0,180.83,158.5,5
33,6830,汎銓,電子工業,633.0,-4.38,108.96,240.64,-24.56,25.77,24.28,-873,780.5,662.0,302.93,185.83,7
34,8155,博智,電子零組件業,289.5,-2.2,35.53,81.3,-6.72,28.38,40.83,2753,357.5,296.0,213.6,159.68,7
35,8996,高力,電機機械,988.0,7.27,23.97,109.99,-23.21,205.73,227.94,-3067,957.19,921.0,796.95,470.51,8
