編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,投信5日買超(張),投信5日股本比(%),投信10日買超(張),投信10日股本比(%),投信20日買超(張),投信20日股本比(%)
1,2059,川湖,電子零組件業,4400.0,6.28,28.51,40.59,9.18,38.87,41.28,-749,4465.0,4140.0,3423.92,3129.57,338,0.35,827,0.87,1037,1.09
2,2455,全新,電子工業,348.0,-9.96,38.26,106.43,1.14,16.64,22.64,7546,433.0,386.5,251.7,168.58,3673,1.99,4557,2.46,6180,3.34
3,3026,禾伸堂,電子零組件業,273.0,9.86,78.49,153.76,26.64,0.11,7.51,-8679,316.0,248.5,152.95,107.58,2103,1.27,2338,1.41,2350,1.42
4,3376,新日興,電子零組件業,205.0,-0.24,-0.15,-2.77,19.12,-9.6,-16.67,4197,238.5,205.5,205.31,210.84,45,0.02,1536,0.78,2966,1.52
5,4958,臻鼎-KY,電子工業,412.0,-3.4,72.69,150.55,31.76,7.18,7.56,-42764,577.0,426.5,238.57,164.44,6918,0.65,15402,1.44,16485,1.54
6,5289,宜鼎,電腦及週邊設備業,1475.0,3.87,48.5,182.46,35.75,484.78,349.04,-4041,1335.0,1420.0,993.23,522.2,1101,1.15,1580,1.65,2624,2.73
7,6147,頎邦,半導體業,175.0,-1.41,104.82,177.71,15.69,11.45,9.48,8793,220.0,177.5,85.44,63.02,11778,1.58,14886,2.0,29066,3.9
8,6291,沛亨,半導體業,438.5,-2.45,30.05,133.99,47.2,43.44,50.05,-356,519.0,449.5,337.19,187.4,199,0.38,969,1.86,1019,1.96
9,6488,環球晶,半導體業,721.0,8.26,47.65,75.41,23.78,0.09,-7.56,30956,754.5,666.0,488.32,411.05,1036,0.22,4076,0.85,9470,1.98
10,6669,緯穎,電腦及週邊設備業,4970.0,4.52,26.47,42.26,4.24,13.87,78.42,2379,5860.0,4755.0,3929.92,3493.72,752,0.4,3799,2.04,4486,2.41
11,6640,均華,半導體業,1425.0,-4.68,22.84,87.53,-0.16,250.1,72.93,115,1820.0,1495.0,1160.02,759.88,25,0.09,250,0.88,573,2.02
12,6715,嘉基,電子工業,435.0,-2.03,48.06,186.91,52.98,9.55,13.45,617,508.0,444.0,293.8,151.62,567,0.86,784,1.19,2902,4.39
13,8046,南電,電子工業,940.0,-5.72,58.39,210.58,35.52,39.03,35.62,8378,1343.0,997.0,593.46,302.66,2448,0.38,8134,1.26,14122,2.19
14,8996,高力,電機機械,1165.0,-2.1,23.41,114.91,36.34,205.35,221.0,823,1575.0,1190.0,944.02,542.08,930,1.0,1050,1.13,1468,1.58
