編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,合約負債YoY(%),增額佔股本(%),總佔比(%),最新季EPS
1,3030,德律,電子工業,293.5,-1.01,-3.79,20.9,35.34,38.19,27.76,1356,301.5,296.5,305.05,242.75,119.47,3.51,6.46,3.86
2,3033,威健,電子通路業,45.05,-0.33,-4.58,26.68,-0.8,78.71,28.1,-7086,48.51,45.2,47.21,35.56,425.2,28.51,35.22,1.86
3,3028,增你強,電子通路業,64.4,-1.68,-9.27,23.86,22.61,117.59,88.84,-2615,72.7,65.5,70.98,51.99,594.99,33.88,39.58,2.19
4,3036,文曄,電子通路業,196.0,1.55,-7.66,6.58,0.67,94.85,96.16,-26249,234.5,193.0,212.25,183.91,4505.55,277.11,283.26,7.68
5,3026,禾伸堂,電子零組件業,742.0,9.93,3.65,147.43,8.89,37.05,17.72,-8959,828.0,675.0,715.84,299.88,162.03,4.66,7.54,3.87
6,6166,凌華,電腦及週邊設備業,116.5,-0.43,-12.8,36.98,-5.42,38.15,29.8,-1441,162.5,117.0,133.6,85.05,313.63,23.24,30.65,1.55
7,3022,威強電,電腦及週邊設備業,90.3,-1.31,4.43,29.38,4.89,73.92,25.55,2644,121.91,91.5,86.47,69.79,85.89,19.22,41.6,2.34
8,6196,帆宣,電子工業,492.5,-1.01,-5.78,40.65,-1.02,101.35,39.28,733,513.0,497.5,522.71,350.17,89.58,527.25,1115.85,8.17
9,6120,達運,電子工業,12.8,0.39,-5.04,1.05,-36.27,-13.71,-5.08,-310,13.7,12.75,13.48,12.67,57.66,399.25,1091.69,1.57
10,6206,飛捷,電子工業,138.5,-1.42,6.04,29.4,-6.8,38.19,20.8,5611,174.43,140.5,130.61,107.03,65.78,3.06,7.7,3.42
11,8096,擎亞,電子通路業,109.5,-0.45,-18.31,30.57,15.92,523.78,58.31,-5291,135.0,110.0,134.04,83.86,6866.91,414.19,420.22,1.4
12,6782,視陽,化學生技醫療,241.5,-0.82,23.38,30.28,3.28,17.2,23.73,2037,251.34,243.5,195.74,185.37,59.53,3.32,8.9,4.63
13,8271,宇瞻,電子工業,232.5,-0.64,11.52,54.68,-4.2,164.99,215.65,2328,281.0,234.0,208.47,150.31,461.25,17.37,21.14,20.93
14,8299,群聯,半導體業,2150.0,-0.23,2.18,29.16,9.29,377.55,245.1,-2532,2510.0,2155.0,2104.09,1664.61,1670.03,101.24,107.31,118.57
15,3450,聯鈞,半導體業,635.0,9.86,27.69,86.41,7.02,98.0,16.98,14140,730.0,578.0,497.29,340.65,241.75,7.81,11.04,2.09
16,3006,晶豪科,電子工業,269.5,-1.64,17.05,70.84,40.02,491.06,259.85,29526,341.0,274.0,230.25,157.75,550.36,4.76,5.62,20.21
17,3167,大量,電機機械,783.0,5.53,5.5,75.42,10.17,152.87,123.37,-2792,964.0,742.0,742.15,446.36,756.48,148.61,168.25,6.1
18,3289,宜特,其他電子類,140.5,-1.06,-7.97,3.58,-6.14,-3.62,-0.59,26,130.72,142.0,152.67,135.64,120.68,18.06,33.03,1.03
19,3260,威剛,半導體業,412.0,-0.84,2.17,33.71,25.36,331.29,196.52,13694,465.5,415.5,403.24,308.13,413.82,9.36,11.63,32.39
20,2236,百達-KY,汽車工業,121.5,0.83,-14.77,2.0,33.45,64.74,28.59,-1072,113.5,120.5,142.56,119.11,116.59,10.68,19.84,0.19
21,2404,漢唐,電子工業,1075.0,0.0,-7.81,9.47,13.75,63.77,69.43,-1009,1140.0,1075.0,1166.02,982.04,54.41,1063.06,3016.79,19.92
22,2357,華碩,電腦及週邊設備業,965.0,-0.31,23.55,54.43,-21.17,53.33,41.55,16437,1221.0,968.0,781.07,624.9,71.44,27.04,64.88,25.64
23,2363,矽統,電子工業,51.8,2.17,-10.56,-4.33,-13.3,72.07,99.44,-294,52.78,50.7,57.92,54.15,74.77,9.77,22.84,0.03
24,2414,精技,電子通路業,51.9,-0.38,-7.06,15.96,-36.66,25.35,38.99,-1582,54.54,52.1,55.85,44.76,198.21,19.67,29.6,1.35
25,2454,聯發科,電子工業,3985.0,3.1,0.71,69.22,-16.44,12.16,3.21,4272,4670.0,3865.0,3957.03,2354.94,116.78,28.23,52.41,15.28
26,2338,光罩,電子工業,40.0,2.04,-9.91,-6.68,-0.71,4.42,-7.32,-834,39.8,39.2,44.4,42.86,193.94,7.07,10.72,0.12
27,2441,超豐,半導體業,118.5,3.95,-3.03,27.9,6.59,41.65,22.11,6176,121.33,114.0,122.21,92.65,82.97,2.56,5.65,1.57
28,2324,仁寶,電腦及週邊設備業,39.7,-0.13,6.64,23.85,-15.49,38.26,16.8,122363,49.2,39.75,37.23,32.05,193.19,19.2,29.14,0.73
29,2379,瑞昱,電子工業,722.0,-1.1,-2.68,25.49,4.75,32.54,11.56,1432,782.0,730.0,741.9,575.33,63.83,3.18,8.17,7.42
30,2360,致茂,電子工業,2010.0,1.01,-4.2,40.76,32.09,175.26,96.03,-1150,2520.0,1990.0,2098.05,1428.01,132.29,22.43,39.38,12.15
31,6727,亞泰金屬,電子零組件業,537.0,3.27,28.58,80.89,37.26,37.87,74.36,-716,580.0,520.0,417.65,296.86,129.75,648.85,1148.94,3.11
32,1416,廣豐,其他,11.8,0.0,5.73,7.06,-8.52,74.25,39.17,1117,13.25,11.8,11.16,11.02,207.74,5.07,7.5,0.45
33,7402,邑錡,光電業,112.5,-4.26,2.5,-7.6,4.21,35.31,-15.33,-536,121.5,117.5,109.76,121.76,100.9,4.88,9.72,0.1
34,3661,世芯-KY,電子工業,4065.0,5.04,4.31,11.81,108.07,181.78,-22.88,1272,5015.0,3870.0,3896.92,3635.75,113.87,944.76,1774.47,20.01
35,4961,天鈺,電子工業,161.0,-2.42,-1.45,6.74,5.79,32.91,2.2,2716,191.0,165.0,163.37,150.84,596.7,12.88,15.04,3.21
36,3581,博磊,半導體業,110.5,-2.21,-12.78,11.01,-10.05,73.94,41.46,-544,125.5,113.0,126.69,99.54,149.19,65.68,109.7,0.63
37,5289,宜鼎,電腦及週邊設備業,1470.0,-1.34,-2.54,53.53,3.49,636.53,510.72,-3860,1768.87,1490.0,1508.37,957.49,863.96,22.02,24.57,108.93
38,4991,環宇-KY,半導體業,520.0,-3.35,7.81,42.84,-55.41,-6.93,41.17,-1855,609.0,538.0,482.35,364.04,797.0,5.19,5.84,0.92
39,3709,鑫聯大投控,電腦及週邊設備業,67.3,-0.59,-6.87,6.88,-14.46,101.53,36.67,-2232,82.5,67.7,72.27,62.97,32487.59,572.32,574.08,2.85
40,3702,大聯大,電子通路業,100.0,-1.48,-7.51,21.57,-24.27,90.83,53.8,-31925,130.93,101.5,108.12,82.25,3350.34,58.57,60.32,5.12
41,3490,單井,光電業,50.3,-6.85,47.58,78.51,39.4,9.44,0.31,4983,80.1,54.0,34.08,28.18,123.09,3.06,5.54,4.08
42,3498,陽程,其他電子類,189.5,-6.88,45.65,130.3,33.55,712.58,116.57,5448,294.0,203.5,130.11,82.29,579.62,241.79,283.5,3.46
43,5515,建國,建材營造,52.5,-0.19,20.46,55.35,-0.87,30.84,16.55,2278,68.5,52.6,43.58,33.79,152.26,95.5,158.22,4.12
44,3587,閎康,其他電子類,252.5,-0.59,-5.04,6.34,0.84,18.56,16.74,-460,279.5,254.0,265.91,237.44,143.02,22.67,38.52,0.8
45,3515,華擎,電腦及週邊設備業,220.0,0.92,1.29,-5.13,78.67,131.35,21.25,1275,249.5,218.0,217.19,231.89,79.81,55.26,124.5,2.96
46,3455,由田,光電業,254.0,-0.2,15.2,62.12,78.1,-9.38,-34.08,-201,308.5,254.5,220.48,156.68,60.47,9.54,25.31,0.38
47,8042,金山電,電子零組件業,109.0,4.31,-22.7,35.52,-0.23,40.35,34.45,-6388,111.0,104.5,141.01,80.43,124.65,172.64,311.13,0.7
48,6152,百一,電子工業,14.05,0.72,4.18,8.53,63.02,156.08,36.57,1326,16.7,13.95,13.49,12.95,63.16,10.87,28.08,0.49
49,6414,樺漢,電腦及週邊設備業,390.0,-0.89,-3.98,22.96,-7.14,55.07,23.32,-3542,553.0,393.5,406.18,317.19,68.35,744.04,1832.6,7.15
50,6446,藥華藥,生技醫療業,1545.0,-0.96,28.47,118.76,7.48,92.59,75.77,2122,1865.0,1560.0,1202.62,706.25,999.99,320.91,320.91,6.13
51,6588,東典光電,通信網路業,112.0,1.36,21.13,46.13,-7.33,110.55,111.13,-775,125.9,110.5,92.46,76.65,3166.14,9.78,10.09,0.34
52,1608,華榮,電器電纜,37.85,-0.92,15.46,17.19,14.96,42.67,16.82,25860,44.0,38.2,32.78,32.3,127.11,293.36,524.15,6.67
53,2030,彰源,鋼鐵工業,22.8,-0.87,19.89,43.15,9.24,41.19,12.06,11210,27.75,23.0,19.02,15.93,83.34,5.12,11.27,1.05
54,6531,愛普*,電子工業,895.0,-2.4,-0.07,46.38,36.08,144.57,99.13,1004,1099.0,917.0,895.65,611.44,163.23,100.39,161.89,4.18
55,2009,第一銅,鋼鐵工業,41.3,-1.2,6.92,1.2,12.65,21.41,18.44,11174,44.5,41.8,38.63,40.81,404.43,438.93,547.46,0.27
56,2395,研華,電腦及週邊設備業,669.0,-0.89,19.85,73.26,11.35,87.58,36.97,3415,785.0,675.0,558.22,386.13,82.01,10.01,22.21,5.2
57,1722,台肥,化學生技醫療,44.6,0.0,-0.75,-1.3,20.94,9.75,5.21,-4887,45.25,44.6,44.94,45.19,56.1,461.32,1283.56,0.24
58,2025,千興,鋼鐵工業,13.25,0.38,3.25,15.07,31.91,200.78,105.8,777,13.65,13.2,12.83,11.52,999.99,98.92,98.92,0.29
59,2069,運錩,鋼鐵工業,21.4,-2.06,12.4,23.85,-13.47,-3.84,-6.4,2099,22.55,21.85,19.04,17.28,75.27,4.56,10.61,1.02
60,6933,AMAX-KY,電腦及週邊設備業,260.0,9.94,56.89,61.23,1.63,197.35,32.08,841,221.0,236.5,165.73,161.26,1568.1,183.23,194.92,5.33
61,2603,長榮,航運業,231.5,-0.43,11.88,23.98,22.83,43.07,0.85,120774,299.0,232.5,206.92,186.72,88.23,31.55,67.3,7.41
62,2467,志聖,電子零組件業,610.0,4.27,9.28,61.32,34.33,132.73,81.52,2334,641.5,585.0,558.2,378.13,361.96,145.04,185.11,4.09
63,2607,榮運,航運業,51.7,-1.15,8.2,0.89,9.62,40.6,4.4,514,57.65,52.3,47.78,51.24,83.38,406.47,893.94,1.64
64,4938,和碩,電腦及週邊設備業,88.5,-1.01,2.77,18.13,-5.78,11.56,-2.06,37149,101.2,89.4,86.11,74.92,64.84,4.77,12.13,1.68
65,3004,豐達科,鋼鐵工業,119.0,-2.06,-10.86,0.77,-0.65,53.03,34.99,-549,118.5,121.5,133.49,118.09,117.52,3.51,6.5,2.09
66,4551,智伸科,汽車工業,162.0,-4.71,-12.22,13.86,10.0,23.12,19.37,-2813,152.0,170.0,184.55,142.28,999.99,158.22,158.22,2.08
67,6757,台灣虎航,航運業,55.1,-1.96,-1.3,-7.59,9.54,27.23,21.85,-665,61.05,56.2,55.83,59.62,75.45,48.13,111.93,0.75
68,5314,世紀*,其他,34.2,-10.0,104.79,59.27,-4.5,149.63,165.94,10527,39.52,38.0,16.7,21.47,1222.45,92.5,100.07,0.29
69,2421,建準,電子零組件業,163.5,2.51,14.73,14.2,14.25,31.65,21.47,16748,176.0,159.5,142.51,143.17,124.4,5.09,9.18,2.42
