編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,5日法人買賣超(張),MA負乖離(%),回檔深度(%),週轉折值,月轉折值,dif值,ADX300值,威廉50值,月線+DI(1),月線RSI(4),日線威廉(50),日線RSI(60),週線VR(2),月線VR(2),近一年創高次數,合約負債YoY(%),增額佔股本(%),總佔比(%),最新季EPS
1,3088,"艾訊 (A,M,R,S)",電腦及週邊設備業,126.0,1.61,-4.05,24.32,0.13,78.53,45.41,-1585,125.5,124.0,131.32,101.35,,,,,,,,,,,,,,,,,,,
2,3037,"欣興 (A,H,M,R)",電子零組件業,940.0,-2.19,-1.33,61.56,9.18,56.26,33.44,19511,1265.0,961.0,952.71,581.84,,,,,,,,,,,,,,,,,,,
3,3017,"奇鋐 (A,H,M,R)",電腦及週邊設備業,3185.0,0.31,14.84,56.3,4.79,54.34,78.79,3013,3951.42,3175.0,2773.35,2037.7,,,,,,,,,,,,,,,,,,,
4,3044,"健鼎 (A,H,M,R)",電子工業,502.0,-0.4,10.69,28.9,4.1,65.48,35.9,-1938,586.0,504.0,453.54,389.46,,,,,,,,,,,,,,,,,,,
5,3036,"文曄 (A,O,R,S)",電子通路業,204.0,6.81,0.44,8.6,8.43,98.21,96.42,-32607,180.5,191.0,203.11,187.84,,,,,,,,,,,,,,,,,,,
6,3081,"聯亞 (A,F,H,M,R)",通信網路業,2720.0,-3.03,16.44,81.82,3.84,180.9,130.86,-39,4305.0,2805.0,2335.96,1495.96,,,,,,,,,,,,,,,,,,,
7,3033,"威健 (A,H,O,R)",電子通路業,41.8,0.72,-9.2,14.61,-14.15,56.84,30.93,-16613,43.05,41.5,46.03,36.47,,,,,,,,,,,,,,,,,,,
8,5351,"鈺創 (A,H,M,R)",半導體業,106.0,0.47,3.62,51.29,6.36,525.32,456.5,-26893,128.0,105.5,102.3,70.06,,,,,,,,,,,,,,,,,,,
9,5289,"宜鼎 (A,H,M,O,R)",電腦及週邊設備業,1260.0,-2.7,-10.26,23.84,2.18,576.29,520.28,-3184,1486.14,1295.0,1404.07,1017.41,,,,,,,,,,,,,,,,,,,
10,6683,"雍智科技 (A,M,R,S)",半導體業,1575.0,-1.25,17.55,48.88,1.36,25.74,26.6,-709,1510.0,1595.0,1339.9,1057.9,,,,,,,,,,,,,,,,,,,
11,6693,"廣閎科 (A,M,R,S)",半導體業,180.5,-1.9,-4.9,43.19,3.61,114.2,83.5,-583,175.5,184.0,189.8,126.06,,,,,,,,,,,,,,,,,,,
12,6834,"天二科技 (A,H,M,R)",電子零組件業,101.5,1.5,0.22,86.18,5.03,114.3,47.59,1644,126.3,100.0,101.28,54.52,,,,,,,,,,,,,,,,,,,
13,6669,"緯穎 (A,H,M,R)",電腦及週邊設備業,2135.0,-1.39,6.78,38.79,22.62,50.36,49.83,-16649,2972.63,2165.0,1999.45,1538.33,,,,,,,,,,,,,,,,,,,
14,8021,"尖點 (A,H,M,R)",電子工業,450.0,2.27,2.29,49.02,5.5,97.75,72.62,-3664,513.0,440.0,439.91,301.98,,,,,,,,,,,,,,,,,,,
15,6933,"AMAX-KY (A,B,J,K,O,R)",電腦及週邊設備業,345.5,9.86,69.23,104.82,-5.75,191.26,45.59,2617,454.5,314.5,204.16,168.68,,,,,,,,,,,,,,,,,,,
16,2103,"台橡 (A,H,K,R)",橡膠工業,28.2,5.03,12.66,46.15,-5.36,21.79,13.63,3697,31.4,26.85,25.03,19.3,,,,,,,,,,,,,,,,,,,
17,6782,"視陽 (A,K,O,R)",化學生技醫療,249.0,7.56,20.17,32.28,5.16,64.05,27.79,-279,265.0,231.5,207.2,188.23,,,,,,,,,,,,,,,,,,,
18,8996,"高力 (A,K,O,R)",電機機械,1300.0,0.0,9.76,44.98,30.48,112.84,119.94,-7116,1570.0,1300.0,1184.45,896.69,,,,,,,,,,,,,,,,,,,
19,8271,"宇瞻 (A,H,O,R)",電子工業,204.0,-2.86,-3.36,28.26,-0.07,177.1,210.45,-1848,229.5,210.0,211.1,159.06,,,,,,,,,,,,,,,,,,,
20,3675,"德微 (A,H,M,R)",半導體業,284.0,-3.89,-2.22,30.84,3.09,31.51,18.18,404,292.33,295.5,290.45,217.06,,,,,,,,,,,,,,,,,,,
21,3293,"鈊象 (A,M,R,S)",文化創意業,725.0,2.4,-1.11,1.52,1.78,24.8,17.67,-9577,668.0,708.0,733.14,714.11,,,,,,,,,,,,,,,,,,,
22,3260,"威剛 (A,M,O,R)",半導體業,395.0,-1.13,-1.58,21.61,2.97,279.81,208.44,3255,408.0,399.5,401.34,324.8,,,,,,,,,,,,,,,,,,,
23,2886,"兆豐金 (A,D,K,R)",金融保險,51.9,1.96,9.22,26.13,-9.81,13.1,13.31,222494,56.45,50.9,47.52,41.15,,,,,,,,,,,,,,,,,,,
24,2880,"華南金 (A,D,K,R)",金融保險,47.9,1.16,18.7,43.27,-8.33,12.21,19.44,85678,52.1,47.35,40.35,33.43,,,,,,,,,,,,,,,,,,,
25,2892,"第一金 (A,D,K,R)",金融保險,40.75,1.88,19.12,38.02,-2.36,6.3,10.78,289928,44.15,40.0,34.21,29.52,,,,,,,,,,,,,,,,,,,
26,2617,"台航 (A,D,K,R)",航運業,33.1,2.0,10.44,14.55,-0.72,22.29,18.15,10942,36.15,32.45,29.97,28.9,,,,,,,,,,,,,,,,,,,
27,2855,"統一證 (A,D,K,R)",金融保險,52.5,1.74,9.81,51.65,122.48,109.88,197.14,12149,56.7,51.6,47.81,34.62,,,,,,,,,,,,,,,,,,,
28,2395,"研華 (A,D,K,O,R)",電腦及週邊設備業,686.0,-1.29,13.04,68.7,-7.57,87.52,42.36,4258,739.0,695.0,606.87,406.64,,,,,,,,,,,,,,,,,,,
29,2027,"大成鋼 (A,D,H,R)",鋼鐵工業,47.1,1.18,4.74,21.67,-1.84,46.09,33.23,9292,52.8,46.55,44.97,38.71,,,,,,,,,,,,,,,,,,,
30,1560,"中砂 (A,K,M,R)",電機機械,815.0,9.99,15.92,57.76,1.44,30.38,23.62,2198,901.0,741.0,703.09,516.6,,,,,,,,,,,,,,,,,,,
31,6446,"藥華藥 (A,M,O,R)",生技醫療業,1195.0,-0.83,-7.41,57.99,4.38,105.43,79.33,-3633,1850.0,1205.0,1290.63,756.37,,,,,,,,,,,,,,,,,,,
32,6510,"精測 (A,H,K,M,R)",半導體業,3200.0,-0.93,9.92,13.04,3.86,54.27,27.4,-124,4310.0,3230.0,2911.26,2830.97,,,,,,,,,,,,,,,,,,,
33,3443,"創意 (A,J,K,M,R)",電子工業,6500.0,5.35,30.09,94.09,1.23,111.02,100.19,1041,7485.0,6170.0,4996.42,3349.03,,,,,,,,,,,,,,,,,,,
34,3702,"大聯大 (A,O,R,S)",電子通路業,111.0,4.72,2.75,31.06,-2.64,80.46,56.65,9705,105.74,106.0,108.03,84.69,,,,,,,,,,,,,,,,,,,
35,2330,"台積電 (A,H,M,R)",電子工業,2425.0,1.89,1.49,24.91,10.1,53.32,37.33,-3557,2462.75,2380.0,2389.45,1941.47,,,,,,,,,,,,,,,,,,,
36,2351,"順德 (A,D,H,K,R)",半導體業,238.0,0.85,21.8,80.44,-0.15,61.22,28.51,9652,309.0,236.0,195.41,131.9,,,,,,,,,,,,,,,,,,,
37,2344,"華邦電 (A,H,M,R)",電子工業,170.0,0.59,-0.93,47.68,2.0,289.43,164.48,-58123,199.5,169.0,171.6,115.11,,,,,,,,,,,,,,,,,,,
38,2383,"台光電 (A,H,M,R)",電子零組件業,4695.0,-7.67,-11.11,42.51,4.89,129.85,89.56,-2243,5763.82,5085.0,5282.05,3294.46,,,,,,,,,,,,,,,,,,,
39,2337,"旺宏 (A,H,M,R)",電子工業,116.5,-2.1,-8.93,16.72,5.44,218.53,139.71,1246,131.5,119.0,127.93,99.81,,,,,,,,,,,,,,,,,,,
40,2408,"南亞科 (A,H,M,R)",電子工業,488.0,-0.91,5.68,71.39,1.88,560.85,624.88,-30411,623.0,492.5,461.76,284.74,,,,,,,,,,,,,,,,,,,
41,2360,"致茂 (A,M,O,R)",電子工業,2085.0,-0.24,1.32,37.34,3.65,156.3,102.73,1612,2220.0,2090.0,2057.75,1518.13,,,,,,,,,,,,,,,,,,,
42,2493,"揚博 (A,O,R,S)",電子零組件業,206.5,9.84,-4.51,43.44,1.07,29.35,13.79,571,170.5,188.0,216.26,143.96,,,,,,,,,,,,,,,,,,,
43,6226,"光鼎 (B,H,J,K,R)",電子工業,43.85,9.9,73.93,223.14,-11.46,13.06,0.65,11695,47.95,39.9,25.21,13.57,5179.0,,,,,,,,,,,,,,,,,,
44,3441,"聯一光 (B,H,J,K,R)",光電業,192.5,3.49,94.25,258.05,-14.52,0.86,27.61,-1458,225.0,186.0,99.1,53.76,-714.0,,,,,,,,,,,,,,,,,,
45,3045,"台灣大 (D,H,K,R)",電子工業,124.0,-0.4,9.07,15.6,3.78,8.5,4.78,63323,128.0,124.5,113.69,107.26,,,,,,,,,,,,,,,,,,,
46,2034,"允強 (D,H,K,R)",鋼鐵工業,21.05,1.69,6.18,7.98,-6.17,26.75,-3.44,5968,22.3,20.7,19.83,19.49,,,,,,,,,,,,,,,,,,,
