編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,5日法人買賣超(張),MA負乖離(%),回檔深度(%),週轉折值,月轉折值,dif值,ADX300值,威廉50值,月線+DI(1),月線RSI(4),日線威廉(50),日線RSI(60),週線VR(2),月線VR(2),近一年創高次數,合約負債YoY(%),增額佔股本(%),總佔比(%),最新季EPS
1,3088,"艾訊 (A,M,S)",電腦及週邊設備業,126.0,1.61,-4.05,24.32,0.13,78.53,45.41,-1585,125.5,124.0,131.32,101.35,,,,,,,,,,,,,,,,,,,
2,3036,"文曄 (A,O,S)",電子通路業,204.0,6.81,0.44,8.6,8.43,98.21,96.42,-32607,180.5,191.0,203.11,187.84,,,,,,,,,,,,,,,,,,,
3,6683,"雍智科技 (A,M,S)",半導體業,1575.0,-1.25,17.55,48.88,1.36,25.74,26.6,-709,1510.0,1595.0,1339.9,1057.9,,,,,,,,,,,,,,,,,,,
4,6693,"廣閎科 (A,M,S)",半導體業,180.5,-1.9,-4.9,43.19,3.61,114.2,83.5,-583,175.5,184.0,189.8,126.06,,,,,,,,,,,,,,,,,,,
5,8926,"台汽電 (A,S)",油電燃氣業,58.8,0.51,-6.29,14.47,14.43,1263.62,687.65,-4127,58.7,58.5,62.75,51.37,,,,,,,,,,,,,,,,,,,
6,3293,"鈊象 (A,M,S)",文化創意業,725.0,2.4,-1.11,1.52,1.78,24.8,17.67,-9577,668.0,708.0,733.14,714.11,,,,,,,,,,,,,,,,,,,
7,3702,"大聯大 (A,O,S)",電子通路業,111.0,4.72,2.75,31.06,-2.64,80.46,56.65,9705,105.74,106.0,108.03,84.69,,,,,,,,,,,,,,,,,,,
8,2493,"揚博 (A,O,S)",電子零組件業,206.5,9.84,-4.51,43.44,1.07,29.35,13.79,571,170.5,188.0,216.26,143.96,,,,,,,,,,,,,,,,,,,
9,2425,"承啟 (A,S)",電腦及週邊設備業,36.6,1.1,-11.64,9.8,3.84,118.46,109.26,1756,36.35,36.2,41.42,33.33,,,,,,,,,,,,,,,,,,,
10,3005,"神基 (D,S)",電腦及週邊設備業,118.0,2.61,4.39,4.02,6.56,18.39,10.03,4145,117.0,115.0,113.04,113.44,,,,,,,,,,,,,,,,,,,
11,2891,"中信金 (D,K,S)",金融保險,71.2,0.56,8.07,33.02,35.22,-2.51,14.33,73348,71.0,70.8,65.88,53.52,,,,,,,,,,,,,,,,,,,
12,2412,"中華電 (D,K,S)",電子工業,145.0,1.05,5.52,10.2,17.22,25.61,7.15,70857,144.5,143.5,137.42,131.58,,,,,,,,,,,,,,,,,,,
13,4961,"天鈺 (G,K,O,S)",電子工業,181.0,0.0,9.17,19.63,7.25,50.15,6.89,3514,174.0,181.0,165.8,151.3,,,,174.0,169.67,,,,,,,,,,,,,,
14,6148,"驊宏資 (G,K,S)",資訊服務業,36.25,-1.09,22.41,5.4,41.38,95.4,-35.57,470,34.5,36.65,29.61,34.39,,,,34.5,28.68,,,,,,,,,,,,,,
15,2104,"國際中橡 (G,S)",橡膠工業,10.75,2.87,3.85,-1.35,-21.66,0.28,-14.23,10739,10.52,10.45,10.35,10.9,,,,10.52,10.7,,,,,,,,,,,,,,
16,2254,"巨鎧精密-創 (G,K,S)",汽車工業,75.2,1.35,22.37,20.15,21.71,-92.06,-80.54,-1319,71.3,74.2,61.45,62.59,,,,71.3,52.1,,,,,,,,,,,,,,
17,2468,"華經 (G,K,S)",電子工業,41.7,-4.47,20.34,10.47,13.78,-28.59,-11.0,834,37.55,43.65,34.65,37.75,,,,37.55,35.8,,,,,,,,,,,,,,
18,6133,"金橋 (G,J,K,S)",電子零組件業,26.05,9.92,19.22,25.91,-10.27,2.15,10.32,3176,25.81,23.7,21.85,20.69,,,,25.81,22.06,,,,,,,,,,,,,,
19,6221,"晉泰 (G,K,S)",資訊服務業,28.65,-1.55,34.07,8.64,76.28,21.48,-29.65,203,24.94,29.1,21.37,26.37,,,,24.94,21.31,,,,,,,,,,,,,,
20,1528,"恩德 (G,K,S)",電機機械,24.1,-3.41,18.51,12.08,20.53,70.84,15.26,-3034,23.8,24.95,20.34,21.5,,,,23.8,20.15,,,,,,,,,,,,,,
21,6603,"富強鑫 (G,S)",電機機械,27.9,9.84,10.11,18.3,-7.0,-11.7,4.43,-279,26.17,25.4,25.34,23.58,,,,26.17,26.57,,,,,,,,,,,,,,
22,5347,"世界 (H,S)",半導體業,165.5,4.75,1.72,25.71,8.22,40.48,17.94,25493,163.5,158.0,162.7,131.65,,,,,,,,,,,,,,,,,,,
23,8050,"廣積 (H,S)",電腦及週邊設備業,58.9,2.43,2.77,23.36,34.54,94.48,14.63,1738,55.3,57.5,57.31,47.74,,,,,,,,,,,,,,,,,,,
24,1313,"聯成 (H,S)",塑膠工業,12.3,2.93,3.17,10.09,3.0,6.04,-1.3,9305,12.2,11.95,11.92,11.17,,,,,,,,,,,,,,,,,,,
25,6168,"宏齊 (H,J,K,S)",電子工業,35.35,9.95,31.32,48.53,7.7,18.52,9.34,5528,33.55,32.15,26.92,23.8,,,,,,,,,,,,,,,,,,,
26,5202,"力新 (K,S)",資訊服務業,14.0,0.36,10.6,-4.19,-22.6,26.12,-19.47,-38,11.8,13.95,12.66,14.61,,,,,,,,,65.08,56.36,22.16,52.58,1346.79,9999.0,,,,,
27,6199,"天品 (K,S)",其他,105.0,2.44,6.15,6.17,6.95,171.7,520.16,-278,102.9,102.5,98.92,98.89,,,,,,,,,0.0,62.39,18.72,52.87,9999.0,239.06,,,,,
28,6112,"邁達特 (K,S)",電子工業,48.75,-1.91,11.45,8.68,-4.13,18.79,17.64,-162,47.7,49.7,43.74,44.86,,,,,,,,,62.5,67.42,26.1,54.44,9999.0,9999.0,,,,,
29,6120,"達運 (O,S)",電子工業,12.3,2.5,-5.62,-3.47,33.68,-3.09,-4.88,-1754,12.15,12.0,13.03,12.74,,,,,,,,,,,,,,,,57.66,399.25,1091.69,1.57
30,6206,"飛捷 (O,S)",電子工業,141.5,2.54,6.34,29.83,2.6,62.18,24.55,385,137.5,138.0,133.07,108.99,,,,,,,,,,,,,,,,65.78,3.06,7.7,3.42
31,4763,"材料*-KY (O,S)",化學生技醫療,47.7,6.24,4.41,2.59,-1.78,20.82,-21.43,-6925,45.99,44.9,45.68,46.5,,,,,,,,,,,,,,,,111.73,26.57,50.35,0.72
